clase,maximo,minimo,media,varianza
3,749,514,593.990.610.329,280.916.825.523
3,875,482,585.060.362.173,418.284.008.545
3,866,491,591.592.219.987,487.863.720.305
3,811,503,586.304.493.628,313.924.195.835
3,800,487,591.552.649.229,378.025.594.704
3,813,510,584.977.653.631,246.002.184.701
3,788,496,588.417.169.685,316.796.681.452
3,783,490,589.576.794.098,358.560.158.087
3,819,439,567.443.326.626,417.686.650.644
3,820,478,583.438.631.791,45.799.283.265
3,883,423,593.071.093.226,415.595.738.707
3,916,432,592.456.740.443,458.969.950.353
3,918,489,594.976.525.822,491.571.574.675
3,872,399,59.189.268.947,483.313.268.297
