maximo;minimo;media;varianza
574;523;5.468.101.945;102.269.138.192
574;516;541.349.429.913;119.099.226.704
563;518;541.156.270.959;857.307.772.411
567;522;543.568.745.808;934.592.243.827
566;521;544.250.838.364;833.187.031.872
570;523;544.040.241.449;712.391.586.271
578;525;546.505.030.181;844.189.887.818
580;520;546.753.185.781;837.137.306.288
578;524;546.485.580.148;797.628.705.387
568;524;546.185.781.355;80.478.563.759
572;524;546.238.095.238;675.120.564.658
572;527;548.704.819.277;778.573.127.853
574;524;54.842.503.864;900.568.485.946
569;524;546.802.113.353;760.549.811.245
573;526;546.651.911.469;903.570.369.231
579;523;5.460.657.277;792.887.717.542
654;447;547.142.521.797;866.446.774.769
572;520;546.612.340.711;102.147.506.996
583;517;547.847.082.495;105.493.718.852
574;523;5.468.101.945;102.269.138.192
576;527;54.733.065.057;765.606.903.212
